Age,Date,Player,Position,Season,Team,Weight
27,16-Feb-97,Alonzo Mourning,C,1996-1997,Miami Heat,240
29,2-Feb-97,Glen Rice,SF,1996-1997,Charlotte Hornets,228
31,26-Jan-97,Mitch Richmond,SG,1996-1997,Sacramento Kings,215
24,19-Jan-97,Grant Hill,SF,1996-1997,Detroit Pistons,225
24,12-Jan-97,Glenn Robinson,SF,1996-1997,Milwaukee Bucks,225
29,5-Jan-97,Glen Rice,SF,1996-1997,Charlotte Hornets,228
30,29-Dec-96,Tim Hardaway,PG,1996-1997,Miami Heat,175
26,22-Dec-96,Terrell Brandon,PG,1996-1997,Cleveland Cavaliers,180
24,15-Dec-96,Shaquille O'Neal,C,1996-1997,Los Angeles Lakers,325
29,8-Dec-96,Terry Mills,PF,1996-1997,Detroit Pistons,230
30,1-Dec-96,Dikembe Mutombo,C,1996-1997,Atlanta Hawks,260
34,24-Nov-96,Charles Barkley,PF,1996-1997,Houston Rockets,252
33,24-Nov-96,Karl Malone,PF,1996-1997,Utah Jazz,265
36,17-Nov-96,Dale Ellis,GF,1996-1997,Denver Nuggets,205
34,10-Nov-96,Hakeem Olajuwon,C,1996-1997,Houston Rockets,255
24,19-Apr-98,Jason Kidd,PG,1997-1998,Phoenix Suns,210
28,12-Apr-98,Sam Cassell,G,1997-1998,New Jersey Nets,185
35,5-Apr-98,Michael Jordan,SG,1997-1998,Chicago Bulls,215
28,29-Mar-98,Alonzo Mourning,C,1997-1998,Miami Heat,240
25,22-Mar-98,Shaquille O'Neal,C,1997-1998,Los Angeles Lakers,325
24,15-Mar-98,Jason Kidd,PG,1997-1998,Phoenix Suns,210
34,8-Mar-98,Karl Malone,PF,1997-1998,Utah Jazz,265
21,1-Mar-98,Tim Duncan,FC,1997-1998,San Antonio Spurs,250
30,22-Feb-98,Nick Anderson,GF,1997-1998,Orlando Magic,228
34,15-Feb-98,Karl Malone,PF,1997-1998,Utah Jazz,265
32,1-Feb-98,David Robinson,C,1997-1998,San Antonio Spurs,250
30,25-Jan-98,Jayson Williams,FC,1997-1998,New Jersey Nets,245
22,18-Jan-98,Allen Iverson,G,1997-1998,Philadelphia Sixers,165
28,11-Jan-98,Steve Smith,SG,1997-1998,Atlanta Hawks,200
31,4-Jan-98,Rik Smits,C,1997-1998,Indiana Pacers,250
32,28-Dec-97,David Robinson,C,1997-1998,San Antonio Spurs,250
35,21-Dec-97,Michael Jordan,SG,1997-1998,Chicago Bulls,215
30,14-Dec-97,Glen Rice,SF,1997-1998,Charlotte Hornets,228
26,7-Dec-97,Wesley Person,SG,1997-1998,Cleveland Cavaliers,195
34,30-Nov-97,Karl Malone,PF,1997-1998,Utah Jazz,265
35,23-Nov-97,Michael Jordan,SG,1997-1998,Chicago Bulls,215
25,16-Nov-97,Shaquille O'Neal,C,1997-1998,Los Angeles Lakers,325
31,9-Nov-97,Dikembe Mutombo,C,1997-1998,Atlanta Hawks,260
26,2-May-99,Grant Hill,SF,1998-1999,Detroit Pistons,225
25,25-Apr-99,Chris Webber,F-C,1998-1999,Sacramento Kings,245
25,18-Apr-99,Jason Kidd,PG,1998-1999,Phoenix Suns,210
35,11-Apr-99,Karl Malone,PF,1998-1999,Utah Jazz,265
22,4-Apr-99,Kevin Garnett,PF,1998-1999,Minnesota Timberwolves,240
30,28-Mar-99,Darrell Armstrong,PG,1998-1999,Orlando Magic,170
22,21-Mar-99,Vince Carter,SF,1998-1999,Toronto Raptors,220
29,14-Mar-99,Alonzo Mourning,C,1998-1999,Miami Heat,240
22,7-Mar-99,Tim Duncan,FC,1998-1999,San Antonio Spurs,250
24,28-Feb-99,Antonio McDyess,F,1998-1999,Denver Nuggets,245
22,21-Feb-99,Stephon Marbury,G,1998-1999,Minnesota Timberwolves,180
30,14-Feb-99,Gary Payton,G,1998-1999,Seattle SuperSonics,180
32,7-Feb-99,Dikembe Mutombo,C,1998-1999,Atlanta Hawks,260
21,17-Apr-00,Kobe Bryant,SG,1999-2000,Los Angeles Lakers,212
30,10-Apr-00,Alonzo Mourning,C,1999-2000,Miami Heat,240
23,3-Apr-00,Tim Duncan,FC,1999-2000,San Antonio Spurs,250
23,27-Mar-00,Kevin Garnett,PF,1999-2000,Minnesota Timberwolves,240
27,20-Mar-00,Jalen Rose,G,1999-2000,Indiana Pacers,210
27,13-Mar-00,Shaquille O'Neal,C,1999-2000,Los Angeles Lakers,325
36,6-Mar-00,Karl Malone,PF,1999-2000,Utah Jazz,265
23,28-Feb-00,Vince Carter,SF,1999-2000,Toronto Raptors,220
27,22-Feb-00,Shaquille O'Neal,C,1999-2000,Los Angeles Lakers,325
26,7-Feb-00,Michael Finley,G-F,1999-2000,Dallas Mavericks,225
33,31-Jan-00,Dikembe Mutombo,C,1999-2000,Atlanta Hawks,260
23,24-Jan-00,Steve Francis,G,1999-2000,Houston Rockets,195
27,17-Jan-00,Chris Webber,F-C,1999-2000,Sacramento Kings,245
27,10-Jan-00,Grant Hill,SF,1999-2000,Detroit Pistons,225
27,3-Jan-00,Chris Webber,F-C,1999-2000,Sacramento Kings,245
23,27-Dec-99,Kevin Garnett,PF,1999-2000,Minnesota Timberwolves,240
26,20-Dec-99,Jason Kidd,PG,1999-2000,Phoenix Suns,210
30,13-Dec-99,Alonzo Mourning,C,1999-2000,Miami Heat,240
27,5-Dec-99,Shaquille O'Neal,C,1999-2000,Los Angeles Lakers,325
23,28-Nov-99,Tim Duncan,FC,1999-2000,San Antonio Spurs,250
23,21-Nov-99,Vince Carter,SF,1999-2000,Toronto Raptors,220
23,14-Nov-99,Kevin Garnett,PF,1999-2000,Minnesota Timberwolves,240
30,7-Nov-99,Sam Cassell,G,1999-2000,Milwaukee Bucks,185
25,15-Apr-01,Ray Allen,SG,2000-2001,Milwaukee Bucks,205
28,8-Apr-01,Shaquille O'Neal,C,2000-2001,Los Angeles Lakers,325
27,1-Apr-01,Jason Kidd,PG,2000-2001,Phoenix Suns,210
23,25-Mar-01,Paul Pierce,SF,2000-2001,Boston Celtics,235
25,18-Mar-01,Cuttino Mobley,G,2000-2001,Houston Rockets,190
26,11-Mar-01,Derek Anderson,G,2000-2001,San Antonio Spurs,194
24,4-Mar-01,Vince Carter,SF,2000-2001,Toronto Raptors,220
22,25-Feb-01,Shawn Marion,F,2000-2001,Phoenix Suns,228
25,18-Feb-01,Allen Iverson,G,2000-2001,Philadelphia Sixers,165
32,4-Feb-01,Darrell Armstrong,PG,2000-2001,Orlando Magic,170
24,28-Jan-01,Tim Duncan,FC,2000-2001,San Antonio Spurs,250
28,22-Jan-01,Chris Webber,F-C,2000-2001,Sacramento Kings,245
24,14-Jan-01,Steve Francis,G,2000-2001,Houston Rockets,195
25,7-Jan-01,Allen Iverson,G,2000-2001,Philadelphia Sixers,165
28,31-Dec-00,Aaron McKie,G,2000-2001,Philadelphia Sixers,209
22,24-Dec-00,Kobe Bryant,SG,2000-2001,Los Angeles Lakers,212
28,17-Dec-00,Glenn Robinson,SF,2000-2001,Milwaukee Bucks,225
28,10-Dec-00,Chris Webber,F-C,2000-2001,Sacramento Kings,245
26,3-Dec-00,Antonio McDyess,F,2000-2001,Denver Nuggets,245
21,26-Nov-00,Baron Davis,G,2000-2001,Charlotte Hornets,215
24,19-Nov-00,Kevin Garnett,PF,2000-2001,Minnesota Timberwolves,240
24,12-Nov-00,Stephon Marbury,G,2000-2001,New Jersey Nets,180
37,6-Nov-00,Karl Malone,PF,2000-2001,Utah Jazz,265
38,6-Nov-00,John Stockton,PG,2000-2001,Utah Jazz,170
24,7-Apr-02,Paul Pierce,SF,2001-2002,Boston Celtics,235
25,7-Apr-02,Tim Duncan,FC,2001-2002,San Antonio Spurs,250
27,31-Mar-02,Ben Wallace,FC,2001-2002,Detroit Pistons,240
23,31-Mar-02,Shawn Marion,F,2001-2002,Phoenix Suns,228
28,24-Mar-02,Jason Kidd,PG,2001-2002,New Jersey Nets,210
25,24-Mar-02,Tim Duncan,FC,2001-2002,San Antonio Spurs,250
22,17-Mar-02,Tracy McGrady,GF,2001-2002,Orlando Magic,210
25,17-Mar-02,Tim Duncan,FC,2001-2002,San Antonio Spurs,250
29,10-Mar-02,Kurt Thomas,FC,2001-2002,New York Knicks,240
29,10-Mar-02,Shaquille O'Neal,C,2001-2002,Los Angeles Lakers,325
26,3-Mar-02,Allen Iverson,G,2001-2002,Philadelphia Sixers,165
27,3-Mar-02,Rasheed Wallace,FC,2001-2002,Portland Trail Blazers,230
27,24-Feb-02,Ben Wallace,FC,2001-2002,Detroit Pistons,240
29,24-Feb-02,Shaquille O'Neal,C,2001-2002,Los Angeles Lakers,325
25,17-Feb-02,Andre Miller,PG,2001-2002,Cleveland Cavaliers,200
38,17-Feb-02,Karl Malone,PF,2001-2002,Utah Jazz,265
28,3-Feb-02,Jason Kidd,PG,2001-2002,New Jersey Nets,210
29,3-Feb-02,Shaquille O'Neal,C,2001-2002,Los Angeles Lakers,325
26,27-Jan-02,Allen Iverson,G,2001-2002,Philadelphia Sixers,165
23,27-Jan-02,Dirk Nowitzki,PF,2001-2002,Dallas Mavericks,245
26,20-Jan-02,Allen Iverson,G,2001-2002,Philadelphia Sixers,165
23,20-Jan-02,Kobe Bryant,SG,2001-2002,Los Angeles Lakers,212
26,13-Jan-02,Ray Allen,SG,2001-2002,Milwaukee Bucks,205
25,13-Jan-02,Kevin Garnett,PF,2001-2002,Minnesota Timberwolves,240
30,6-Jan-02,Eddie Jones,G-F,2001-2002,Miami Heat,200
28,6-Jan-02,Chris Webber,F-C,2001-2002,Sacramento Kings,245
28,30-Dec-01,Jason Kidd,PG,2001-2002,New Jersey Nets,210
25,30-Dec-01,Tim Duncan,FC,2001-2002,San Antonio Spurs,250
23,23-Dec-01,Jermaine O'Neal,FC,2001-2002,Indiana Pacers,235
33,23-Dec-01,Gary Payton,G,2001-2002,Seattle SuperSonics,180
24,16-Dec-01,Richard Hamilton,SG,2001-2002,Washington Wizards,193
28,16-Dec-01,Steve Nash,G,2001-2002,Dallas Mavericks,178
25,9-Dec-01,Andre Miller,PG,2001-2002,Cleveland Cavaliers,200
22,9-Dec-01,Elton Brand,PF,2001-2002,Los Angeles Clippers,254
24,2-Dec-01,Paul Pierce,SF,2001-2002,Boston Celtics,235
25,2-Dec-01,Stephon Marbury,G,2001-2002,Phoenix Suns,180
25,25-Nov-01,Shareef Abdur-Rahim,F,2001-2002,Atlanta Hawks,225
25,25-Nov-01,Tim Duncan,FC,2001-2002,San Antonio Spurs,250
26,18-Nov-01,Allen Iverson,G,2001-2002,Philadelphia Sixers,165
25,18-Nov-01,Kevin Garnett,PF,2001-2002,Minnesota Timberwolves,240
25,11-Nov-01,Vince Carter,SF,2001-2002,Toronto Raptors,220
25,11-Nov-01,Tim Duncan,FC,2001-2002,San Antonio Spurs,250
26,4-Nov-01,Ray Allen,SG,2001-2002,Milwaukee Bucks,205
23,4-Nov-01,Kobe Bryant,SG,2001-2002,Los Angeles Lakers,212
23,13-Apr-03,Tracy McGrady,GF,2002-2003,Orlando Magic,210
24,13-Apr-03,Shawn Marion,F,2002-2003,Phoenix Suns,228
29,6-Apr-03,Jason Kidd,PG,2002-2003,New Jersey Nets,210
30,6-Apr-03,Shaquille O'Neal,C,2002-2003,Los Angeles Lakers,325
22,30-Mar-03,Richard Jefferson,SF,2002-2003,New Jersey Nets,233
26,30-Mar-03,Tim Duncan,FC,2002-2003,San Antonio Spurs,250
28,23-Mar-03,Ben Wallace,FC,2002-2003,Detroit Pistons,240
25,23-Mar-03,Peja Stojakovic,F,2002-2003,Sacramento Kings,229
27,16-Mar-03,Allen Iverson,G,2002-2003,Philadelphia Sixers,165
26,16-Mar-03,Steve Francis,G,2002-2003,Houston Rockets,195
23,9-Mar-03,Tracy McGrady,GF,2002-2003,Orlando Magic,210
30,9-Mar-03,Shaquille O'Neal,C,2002-2003,Los Angeles Lakers,325
40,2-Mar-03,Michael Jordan,SG,2002-2003,Washington Wizards,215
27,2-Mar-03,Ray Allen,SG,2002-2003,Seattle SuperSonics,205
23,23-Feb-03,Tracy McGrady,GF,2002-2003,Orlando Magic,210
24,23-Feb-03,Kobe Bryant,SG,2002-2003,Los Angeles Lakers,212
31,16-Feb-03,Allan Houston,G,2002-2003,New York Knicks,205
26,16-Feb-03,Tim Duncan,FC,2002-2003,San Antonio Spurs,250
26,2-Feb-03,Chauncey Billups,G,2002-2003,Detroit Pistons,210
24,2-Feb-03,Kobe Bryant,SG,2002-2003,Los Angeles Lakers,212
25,26-Jan-03,Paul Pierce,SF,2002-2003,Boston Celtics,235
26,26-Jan-03,Tim Duncan,FC,2002-2003,San Antonio Spurs,250
26,19-Jan-03,Antoine Walker,F,2002-2003,Boston Celtics,265
26,19-Jan-03,Steve Francis,G,2002-2003,Houston Rockets,195
24,12-Jan-03,Jermaine O'Neal,FC,2002-2003,Indiana Pacers,235
24,12-Jan-03,Kobe Bryant,SG,2002-2003,Los Angeles Lakers,212
26,12-Jan-03,Stephon Marbury,G,2002-2003,Phoenix Suns,180
40,5-Jan-03,Michael Jordan,SG,2002-2003,Washington Wizards,215
24,5-Jan-03,Dirk Nowitzki,PF,2002-2003,Dallas Mavericks,245
32,29-Dec-02,Lucious Harris,SG,2002-2003,New Jersey Nets,190
26,29-Dec-02,Tim Duncan,FC,2002-2003,San Antonio Spurs,250
29,22-Dec-02,Jason Kidd,PG,2002-2003,New Jersey Nets,210
26,22-Dec-02,Tim Duncan,FC,2002-2003,San Antonio Spurs,250
26,15-Dec-02,Antoine Walker,F,2002-2003,Boston Celtics,265
29,15-Dec-02,Chris Webber,F-C,2002-2003,Sacramento Kings,245
25,8-Dec-02,Paul Pierce,SF,2002-2003,Boston Celtics,235
24,8-Dec-02,Kobe Bryant,SG,2002-2003,Los Angeles Lakers,212
27,1-Dec-02,Allen Iverson,G,2002-2003,Philadelphia Sixers,165
26,1-Dec-02,Stephon Marbury,G,2002-2003,Phoenix Suns,180
27,24-Nov-02,Allen Iverson,G,2002-2003,Philadelphia Sixers,165
26,24-Nov-02,Kevin Garnett,PF,2002-2003,Minnesota Timberwolves,240
23,17-Nov-02,Metta World Peace,SF,2002-2003,Indiana Pacers,260
23,17-Nov-02,Rashard Lewis,F,2002-2003,Seattle SuperSonics,235
28,10-Nov-02,Jerry Stackhouse,SF,2002-2003,Washington Wizards,218
24,10-Nov-02,Dirk Nowitzki,PF,2002-2003,Dallas Mavericks,245
30,3-Nov-02,Glenn Robinson,SF,2002-2003,Atlanta Hawks,225
24,3-Nov-02,Kobe Bryant,SG,2002-2003,Los Angeles Lakers,212
25,12-Apr-04,Jamaal Magloire,C,2003-2004,New Orleans Hornets,259
19,12-Apr-04,Carmelo Anthony,F,2003-2004,Denver Nuggets,240
23,5-Apr-04,Richard Jefferson,SF,2003-2004,New Jersey Nets,233
25,5-Apr-04,Dirk Nowitzki,PF,2003-2004,Dallas Mavericks,245
24,29-Mar-04,Metta World Peace,SF,2003-2004,Indiana Pacers,260
25,29-Mar-04,Kobe Bryant,SG,2003-2004,Los Angeles Lakers,212
27,21-Mar-04,Vince Carter,SF,2003-2004,Toronto Raptors,220
31,21-Mar-04,Shaquille O'Neal,C,2003-2004,Los Angeles Lakers,325
28,14-Mar-04,Zydrunas Ilgauskas,C,2003-2004,Cleveland Cavaliers,260
19,14-Mar-04,Carmelo Anthony,F,2003-2004,Denver Nuggets,240
24,7-Mar-04,Lamar Odom,PF,2003-2004,Miami Heat,230
23,7-Mar-04,Yao Ming,C,2003-2004,Houston Rockets,310
29,29-Feb-04,Ben Wallace,FC,2003-2004,Detroit Pistons,240
23,29-Feb-04,Andrei Kirilenko,PF,2003-2004,Utah Jazz,235
22,22-Feb-04,Dwyane Wade,SG,2003-2004,Miami Heat,220
25,22-Feb-04,Kobe Bryant,SG,2003-2004,Los Angeles Lakers,212
26,8-Feb-04,Kenyon Martin,F,2003-2004,New Jersey Nets,240
27,8-Feb-04,Tim Duncan,FC,2003-2004,San Antonio Spurs,250
30,1-Feb-04,Jason Kidd,PG,2003-2004,New Jersey Nets,210
27,1-Feb-04,Kevin Garnett,PF,2003-2004,Minnesota Timberwolves,240
22,25-Jan-04,Carlos Boozer,PF,2003-2004,Cleveland Cavaliers,266
27,25-Jan-04,Kevin Garnett,PF,2003-2004,Minnesota Timberwolves,240
27,18-Jan-04,Stephon Marbury,G,2003-2004,New York Knicks,180
30,18-Jan-04,Michael Finley,G-F,2003-2004,Dallas Mavericks,225
26,11-Jan-04,Paul Pierce,SF,2003-2004,Boston Celtics,235
28,11-Jan-04,Ray Allen,SG,2003-2004,Seattle SuperSonics,205
29,4-Jan-04,Ben Wallace,FC,2003-2004,Detroit Pistons,240
24,4-Jan-04,Elton Brand,PF,2003-2004,Los Angeles Clippers,254
30,28-Dec-03,Jason Kidd,PG,2003-2004,New Jersey Nets,210
34,28-Dec-03,Sam Cassell,G,2003-2004,Minnesota Timberwolves,185
24,21-Dec-03,Tracy McGrady,GF,2003-2004,Orlando Magic,210
27,21-Dec-03,Kevin Garnett,PF,2003-2004,Minnesota Timberwolves,240
26,14-Dec-03,Paul Pierce,SF,2003-2004,Boston Celtics,235
26,14-Dec-03,Peja Stojakovic,F,2003-2004,Sacramento Kings,229
27,7-Dec-03,Vince Carter,SF,2003-2004,Toronto Raptors,220
31,7-Dec-03,Shaquille O'Neal,C,2003-2004,Los Angeles Lakers,325
37,30-Nov-03,Dikembe Mutombo,C,2003-2004,New York Knicks,260
30,30-Nov-03,Voshon Lenard,SG,2003-2004,Denver Nuggets,205
27,23-Nov-03,Chauncey Billups,G,2003-2004,Detroit Pistons,210
27,23-Nov-03,Kevin Garnett,PF,2003-2004,Minnesota Timberwolves,240
28,16-Nov-03,Allen Iverson,G,2003-2004,Philadelphia Sixers,165
23,16-Nov-03,Quentin Richardson,GF,2003-2004,Los Angeles Clippers,223
24,9-Nov-03,Metta World Peace,SF,2003-2004,Indiana Pacers,260
23,9-Nov-03,Andrei Kirilenko,PF,2003-2004,Utah Jazz,235
24,2-Nov-03,Baron Davis,G,2003-2004,New Orleans Hornets,215
24,2-Nov-03,Rashard Lewis,F,2003-2004,Seattle SuperSonics,235
31,17-Apr-05,Jason Kidd,PG,2004-2005,New Jersey Nets,210
25,17-Apr-05,Tracy McGrady,GF,2004-2005,Houston Rockets,210
28,10-Apr-05,Vince Carter,SF,2004-2005,New Jersey Nets,220
25,10-Apr-05,Baron Davis,G,2004-2005,Golden State Warriors,215
39,3-Apr-05,Reggie Miller,SG,2004-2005,Indiana Pacers,185
25,3-Apr-05,Baron Davis,G,2004-2005,Golden State Warriors,215
29,27-Mar-05,Allen Iverson,G,2004-2005,Philadelphia Sixers,165
29,27-Mar-05,Ray Allen,SG,2004-2005,Seattle SuperSonics,205
28,20-Mar-05,Chauncey Billups,G,2004-2005,Detroit Pistons,210
24,20-Mar-05,Jason Richardson,GF,2004-2005,Golden State Warriors,225
27,13-Mar-05,Paul Pierce,SF,2004-2005,Boston Celtics,235
25,13-Mar-05,Tracy McGrady,GF,2004-2005,Houston Rockets,210
29,6-Mar-05,Allen Iverson,G,2004-2005,Philadelphia Sixers,165
30,6-Mar-05,Marcus Camby,C,2004-2005,Denver Nuggets,240
32,27-Feb-05,Jalen Rose,G,2004-2005,Toronto Raptors,210
26,27-Feb-05,Mike Bibby,G,2004-2005,Sacramento Kings,195
29,13-Feb-05,Allen Iverson,G,2004-2005,Philadelphia Sixers,165
31,13-Feb-05,Steve Nash,G,2004-2005,Phoenix Suns,178
27,6-Feb-05,Paul Pierce,SF,2004-2005,Boston Celtics,235
25,6-Feb-05,Tracy McGrady,GF,2004-2005,Houston Rockets,210
28,30-Jan-05,Vince Carter,SF,2004-2005,New Jersey Nets,220
28,30-Jan-05,Brad Miller,C,2004-2005,Sacramento Kings,261
20,23-Jan-05,LeBron James,F,2004-2005,Cleveland Cavaliers,250
27,23-Jan-05,Jason Terry,G,2004-2005,Dallas Mavericks,185
26,16-Jan-05,Larry Hughes,G,2004-2005,Washington Wizards,184
25,16-Jan-05,Tracy McGrady,GF,2004-2005,Houston Rockets,210
20,9-Jan-05,Chris Bosh,PF,2004-2005,Toronto Raptors,235
33,9-Jan-05,Bruce Bowen,F,2004-2005,San Antonio Spurs,200
28,2-Jan-05,Stephon Marbury,G,2004-2005,New York Knicks,180
24,2-Jan-05,Pau Gasol,FC,2004-2005,Memphis Grizzlies,250
29,26-Dec-04,Allen Iverson,G,2004-2005,Philadelphia Sixers,165
31,26-Dec-04,Steve Nash,G,2004-2005,Phoenix Suns,178
32,19-Dec-04,Shaquille O'Neal,C,2004-2005,Miami Heat,325
26,19-Dec-04,Shawn Marion,F,2004-2005,Phoenix Suns,228
24,12-Dec-04,Richard Jefferson,SF,2004-2005,New Jersey Nets,233
22,12-Dec-04,Amar'e Stoudemire,FC,2004-2005,Phoenix Suns,245
23,5-Dec-04,Gilbert Arenas,G,2004-2005,Washington Wizards,191
26,5-Dec-04,Dirk Nowitzki,PF,2004-2005,Dallas Mavericks,245
20,28-Nov-04,LeBron James,F,2004-2005,Cleveland Cavaliers,250
26,28-Nov-04,Shawn Marion,F,2004-2005,Phoenix Suns,228
32,21-Nov-04,Grant Hill,SF,2004-2005,Orlando Magic,225
22,21-Nov-04,Amar'e Stoudemire,FC,2004-2005,Phoenix Suns,245
20,14-Nov-04,LeBron James,F,2004-2005,Cleveland Cavaliers,250
29,14-Nov-04,Ray Allen,SG,2004-2005,Seattle SuperSonics,205
23,7-Nov-04,Dwyane Wade,SG,2004-2005,Miami Heat,220
28,7-Nov-04,Kevin Garnett,PF,2004-2005,Minnesota Timberwolves,240
22,16-Apr-06,Ben Gordon,SG,2005-2006,Chicago Bulls,200
27,16-Apr-06,Kobe Bryant,SG,2005-2006,Los Angeles Lakers,212
25,9-Apr-06,Jamal Crawford,SG,2005-2006,New York Knicks,195
23,9-Apr-06,Chris Wilcox,FC,2005-2006,Seattle SuperSonics,235
21,2-Apr-06,LeBron James,F,2005-2006,Cleveland Cavaliers,250
25,2-Apr-06,Yao Ming,C,2005-2006,Houston Rockets,310
