Age,Date,Player,Position,Season,Team,Weight
29,6-Feb-12,Tony Parker,G,2011-2012,San Antonio Spurs,185
27,30-Jan-12,LeBron James,F,2011-2012,Miami Heat,250
23,30-Jan-12,Russell Westbrook,G,2011-2012,Oklahoma City Thunder,200
26,23-Jan-12,Dwight Howard,C,2011-2012,Orlando Magic,265
27,23-Jan-12,Marc Gasol,C,2011-2012,Memphis Grizzlies,255
23,16-Jan-12,Derrick Rose,PG,2011-2012,Chicago Bulls,190
33,16-Jan-12,Kobe Bryant,SG,2011-2012,Los Angeles Lakers,212
27,9-Jan-12,LeBron James,F,2011-2012,Miami Heat,250
33,9-Jan-12,Kobe Bryant,SG,2011-2012,Los Angeles Lakers,212
27,3-Jan-12,LeBron James,F,2011-2012,Miami Heat,250
23,3-Jan-12,Kevin Durant,SF,2011-2012,Oklahoma City Thunder,240
28,15-Apr-13,Carmelo Anthony,F,2012-2013,New York Knicks,240
34,15-Apr-13,Kobe Bryant,SG,2012-2013,Los Angeles Lakers,212
28,8-Apr-13,Carmelo Anthony,F,2012-2013,New York Knicks,240
27,8-Apr-13,Nikola Pekovic,PF,2012-2013,Minnesota Timberwolves,307
27,1-Apr-13,J.R. Smith,SG,2012-2013,New York Knicks,225
28,1-Apr-13,Al Jefferson,FC,2012-2013,Utah Jazz,289
28,25-Mar-13,LeBron James,F,2012-2013,Miami Heat,250
23,25-Mar-13,James Harden,SG,2012-2013,Houston Rockets,220
22,18-Mar-13,John Wall,PG,2012-2013,Washington Wizards,210
27,18-Mar-13,LaMarcus Aldridge,FC,2012-2013,Portland Trail Blazers,260
31,11-Mar-13,Dwyane Wade,SG,2012-2013,Miami Heat,220
34,11-Mar-13,Kobe Bryant,SG,2012-2013,Los Angeles Lakers,212
27,4-Mar-13,Monta Ellis,G,2012-2013,Milwaukee Bucks,185
25,4-Mar-13,Ty Lawson,PG,2012-2013,Denver Nuggets,195
28,25-Feb-13,LeBron James,F,2012-2013,Miami Heat,250
34,25-Feb-13,Kobe Bryant,SG,2012-2013,Los Angeles Lakers,212
28,11-Feb-13,LeBron James,F,2012-2013,Miami Heat,250
24,11-Feb-13,Russell Westbrook,G,2012-2013,Oklahoma City Thunder,200
28,4-Feb-13,Nate Robinson,G,2012-2013,Chicago Bulls,180
29,4-Feb-13,David Lee,FC,2012-2013,Golden State Warriors,245
20,28-Jan-13,Kyrie Irving,G,2012-2013,Cleveland Cavaliers,193
30,28-Jan-13,Tony Parker,G,2012-2013,San Antonio Spurs,185
31,21-Jan-13,Carlos Boozer,PF,2012-2013,Chicago Bulls,266
24,21-Jan-13,Kevin Durant,SF,2012-2013,Oklahoma City Thunder,240
23,14-Jan-13,Brandon Jennings,G,2012-2013,Milwaukee Bucks,170
24,14-Jan-13,Kevin Durant,SF,2012-2013,Oklahoma City Thunder,240
28,7-Jan-13,Carmelo Anthony,F,2012-2013,New York Knicks,240
23,7-Jan-13,James Harden,SG,2012-2013,Houston Rockets,220
27,31-Dec-12,Monta Ellis,G,2012-2013,Milwaukee Bucks,185
26,31-Dec-12,Greivis Vasquez,G,2012-2013,New Orleans Hornets,217
28,24-Dec-12,LeBron James,F,2012-2013,Miami Heat,250
27,24-Dec-12,Chris Paul,PG,2012-2013,Los Angeles Clippers,175
22,17-Dec-12,Paul George,GF,2012-2013,Indiana Pacers,220
29,17-Dec-12,David Lee,FC,2012-2013,Golden State Warriors,245
27,10-Dec-12,Josh Smith,PF,2012-2013,Atlanta Hawks,225
23,10-Dec-12,Blake Griffin,PF,2012-2013,Los Angeles Clippers,251
28,3-Dec-12,Carmelo Anthony,F,2012-2013,New York Knicks,240
24,3-Dec-12,Kevin Durant,SF,2012-2013,Oklahoma City Thunder,240
26,26-Nov-12,Al Horford,FC,2012-2013,Atlanta Hawks,245
36,26-Nov-12,Tim Duncan,FC,2012-2013,San Antonio Spurs,250
28,19-Nov-12,LeBron James,F,2012-2013,Miami Heat,250
24,19-Nov-12,Kevin Durant,SF,2012-2013,Oklahoma City Thunder,240
28,12-Nov-12,LeBron James,F,2012-2013,Miami Heat,250
23,12-Nov-12,Kenneth Faried,F,2012-2013,Denver Nuggets,228
23,5-Nov-12,Brandon Jennings,G,2012-2013,Milwaukee Bucks,170
23,5-Nov-12,James Harden,SG,2012-2013,Houston Rockets,220
25,14-Apr-14,Jeff Teague,PG,2013-2014,Atlanta Hawks,186
28,14-Apr-14,Monta Ellis,G,2013-2014,Dallas Mavericks,185
29,7-Apr-14,Al Jefferson,FC,2013-2014,Charlotte Bobcats,289
35,7-Apr-14,Dirk Nowitzki,PF,2013-2014,Dallas Mavericks,245
23,31-Mar-14,Nikola Vucevic,PF,2013-2014,Orlando Magic,260
37,31-Mar-14,Tim Duncan,FC,2013-2014,San Antonio Spurs,250
32,24-Mar-14,Joe Johnson,SG,2013-2014,Brooklyn Nets,240
25,24-Mar-14,Kevin Durant,SF,2013-2014,Oklahoma City Thunder,240
29,17-Mar-14,Al Jefferson,FC,2013-2014,Charlotte Bobcats,289
24,17-Mar-14,Blake Griffin,PF,2013-2014,Los Angeles Clippers,251
29,10-Mar-14,Carmelo Anthony,F,2013-2014,New York Knicks,240
24,10-Mar-14,James Harden,SG,2013-2014,Houston Rockets,220
23,3-Mar-14,John Wall,PG,2013-2014,Washington Wizards,210
24,3-Mar-14,James Harden,SG,2013-2014,Houston Rockets,220
23,24-Feb-14,Kemba Walker,G,2013-2014,Charlotte Bobcats,184
25,24-Feb-14,Kevin Love,FC,2013-2014,Minnesota Timberwolves,251
21,10-Feb-14,Jared Sullinger,C,2013-2014,Boston Celtics,260
25,10-Feb-14,Kevin Durant,SF,2013-2014,Oklahoma City Thunder,240
27,3-Feb-14,Kyle Lowry,PG,2013-2014,Toronto Raptors,196
27,3-Feb-14,Goran Dragic,G,2013-2014,Phoenix Suns,190
29,27-Jan-14,Paul Millsap,FC,2013-2014,Atlanta Hawks,246
25,27-Jan-14,Kevin Durant,SF,2013-2014,Oklahoma City Thunder,240
23,20-Jan-14,Paul George,GF,2013-2014,Indiana Pacers,220
25,20-Jan-14,Kevin Durant,SF,2013-2014,Oklahoma City Thunder,240
29,13-Jan-14,Carmelo Anthony,F,2013-2014,New York Knicks,240
23,13-Jan-14,DeMarcus Cousins,C,2013-2014,Sacramento Kings,270
25,6-Jan-14,Thaddeus Young,F,2013-2014,Philadelphia Sixers,221
30,6-Jan-14,David Lee,FC,2013-2014,Golden State Warriors,245
29,30-Dec-13,Chris Bosh,PF,2013-2014,Miami Heat,235
25,30-Dec-13,Kevin Durant,SF,2013-2014,Oklahoma City Thunder,240
32,23-Dec-13,Dwyane Wade,SG,2013-2014,Miami Heat,220
24,23-Dec-13,Blake Griffin,PF,2013-2014,Los Angeles Clippers,251
21,16-Dec-13,Kyrie Irving,G,2013-2014,Cleveland Cavaliers,193
28,16-Dec-13,LaMarcus Aldridge,FC,2013-2014,Portland Trail Blazers,260
25,9-Dec-13,Jordan Crawford,G,2013-2014,Boston Celtics,195
28,9-Dec-13,LaMarcus Aldridge,FC,2013-2014,Portland Trail Blazers,260
29,2-Dec-13,LeBron James,F,2013-2014,Miami Heat,250
25,2-Dec-13,Kevin Durant,SF,2013-2014,Oklahoma City Thunder,240
23,25-Nov-13,John Wall,PG,2013-2014,Washington Wizards,210
28,25-Nov-13,LaMarcus Aldridge,FC,2013-2014,Portland Trail Blazers,260
29,18-Nov-13,LeBron James,F,2013-2014,Miami Heat,250
24,18-Nov-13,Blake Griffin,PF,2013-2014,Los Angeles Clippers,251
23,11-Nov-13,Paul George,GF,2013-2014,Indiana Pacers,220
24,11-Nov-13,Markieff Morris,PF,2013-2014,Phoenix Suns,245
22,4-Nov-13,Michael Carter-Williams,PG,2013-2014,Philadelphia Sixers,190
25,4-Nov-13,Kevin Love,FC,2013-2014,Minnesota Timberwolves,251
26,13-Apr-15,Isaiah Thomas,PG,2014-2015,Boston Celtics,185
38,13-Apr-15,Tim Duncan,FC,2014-2015,San Antonio Spurs,250
26,6-Apr-15,Brook Lopez,C,2014-2015,Brooklyn Nets,268
25,6-Apr-15,James Harden,SG,2014-2015,Houston Rockets,220
26,30-Mar-15,Brook Lopez,C,2014-2015,Brooklyn Nets,268
26,30-Mar-15,Stephen Curry,G,2014-2015,Golden State Warriors,190
33,23-Mar-15,Dwyane Wade,SG,2014-2015,Miami Heat,220
29,23-Mar-15,Chris Paul,PG,2014-2015,Los Angeles Clippers,175
22,16-Mar-15,Kyrie Irving,G,2014-2015,Cleveland Cavaliers,193
21,16-Mar-15,Anthony Davis,PF,2014-2015,New Orleans Pelicans,253
32,9-Mar-15,Mo Williams,G,2014-2015,Charlotte Hornets,198
26,9-Mar-15,Russell Westbrook,G,2014-2015,Oklahoma City Thunder,200
26,2-Mar-15,Isaiah Thomas,PG,2014-2015,Boston Celtics,185
24,2-Mar-15,Damian Lillard,G,2014-2015,Portland Trail Blazers,195
20,9-Feb-15,Giannis Antetokounmpo,F,2014-2015,Milwaukee Bucks,222
26,9-Feb-15,Russell Westbrook,G,2014-2015,Oklahoma City Thunder,200
22,2-Feb-15,Kyrie Irving,G,2014-2015,Cleveland Cavaliers,193
33,2-Feb-15,Zach Randolph,PF,2014-2015,Memphis Grizzlies,260
30,26-Jan-15,LeBron James,F,2014-2015,Cleveland Cavaliers,250
25,26-Jan-15,Klay Thompson,G,2014-2015,Golden State Warriors,215
28,19-Jan-15,Al Horford,FC,2014-2015,Atlanta Hawks,245
32,19-Jan-15,Mo Williams,G,2014-2015,Minnesota Timberwolves,198
24,12-Jan-15,Kemba Walker,G,2014-2015,Charlotte Hornets,184
25,12-Jan-15,Klay Thompson,G,2014-2015,Golden State Warriors,215
26,5-Jan-15,Jeff Teague,PG,2014-2015,Atlanta Hawks,186
26,5-Jan-15,Kevin Durant,SF,2014-2015,Oklahoma City Thunder,240
25,29-Dec-14,Jimmy Butler,GF,2014-2015,Chicago Bulls,231
25,29-Dec-14,James Harden,SG,2014-2015,Houston Rockets,220
28,22-Dec-14,Al Horford,FC,2014-2015,Atlanta Hawks,245
29,22-Dec-14,LaMarcus Aldridge,FC,2014-2015,Portland Trail Blazers,260
24,15-Dec-14,John Wall,PG,2014-2015,Washington Wizards,210
25,15-Dec-14,James Harden,SG,2014-2015,Houston Rockets,220
28,8-Dec-14,Kyle Lowry,PG,2014-2015,Toronto Raptors,196
29,8-Dec-14,LaMarcus Aldridge,FC,2014-2015,Portland Trail Blazers,260
30,1-Dec-14,LeBron James,F,2014-2015,Cleveland Cavaliers,250
25,1-Dec-14,Blake Griffin,PF,2014-2015,Los Angeles Clippers,251
28,24-Nov-14,Lou Williams,G,2014-2015,Toronto Raptors,175
24,24-Nov-14,DeMarcus Cousins,C,2014-2015,Sacramento Kings,270
30,17-Nov-14,LeBron James,F,2014-2015,Cleveland Cavaliers,250
24,17-Nov-14,Damian Lillard,G,2014-2015,Portland Trail Blazers,195
30,10-Nov-14,Deron Williams,PG,2014-2015,Brooklyn Nets,200
26,10-Nov-14,Stephen Curry,G,2014-2015,Golden State Warriors,190
30,3-Nov-14,Chris Bosh,PF,2014-2015,Miami Heat,235
25,3-Nov-14,Klay Thompson,G,2014-2015,Golden State Warriors,215
31,11-Apr-16,Paul Millsap,FC,2015-2016,Atlanta Hawks,246
20,11-Apr-16,Karl-Anthony Towns,C,2015-2016,Minnesota Timberwolves,244
31,4-Apr-16,LeBron James,F,2015-2016,Cleveland Cavaliers,250
31,4-Apr-16,J.J. Barea,G,2015-2016,Dallas Mavericks,185
31,28-Mar-16,LeBron James,F,2015-2016,Cleveland Cavaliers,250
26,28-Mar-16,Klay Thompson,G,2015-2016,Golden State Warriors,215
29,21-Mar-16,Kyle Lowry,PG,2015-2016,Toronto Raptors,196
27,21-Mar-16,Kevin Durant,SF,2015-2016,Oklahoma City Thunder,240
25,14-Mar-16,Kemba Walker,G,2015-2016,Charlotte Hornets,184
27,14-Mar-16,Stephen Curry,G,2015-2016,Golden State Warriors,190
31,7-Mar-16,LeBron James,F,2015-2016,Cleveland Cavaliers,250
24,7-Mar-16,Kawhi Leonard,F,2015-2016,San Antonio Spurs,230
29,29-Feb-16,Kyle Lowry,PG,2015-2016,Toronto Raptors,196
27,29-Feb-16,Stephen Curry,G,2015-2016,Golden State Warriors,190
27,8-Feb-16,Isaiah Thomas,PG,2015-2016,Boston Celtics,185
30,8-Feb-16,LaMarcus Aldridge,FC,2015-2016,San Antonio Spurs,260
34,1-Feb-16,Dwyane Wade,SG,2015-2016,Miami Heat,220
27,1-Feb-16,Kevin Durant,SF,2015-2016,Oklahoma City Thunder,240
25,25-Jan-16,Kemba Walker,G,2015-2016,Charlotte Hornets,184
25,25-Jan-16,DeMarcus Cousins,C,2015-2016,Sacramento Kings,270
25,18-Jan-16,John Wall,PG,2015-2016,Washington Wizards,210
27,18-Jan-16,Kevin Durant,SF,2015-2016,Oklahoma City Thunder,240
31,11-Jan-16,LeBron James,F,2015-2016,Cleveland Cavaliers,250
30,11-Jan-16,Chris Paul,PG,2015-2016,Los Angeles Clippers,175
27,4-Jan-16,Brook Lopez,C,2015-2016,Brooklyn Nets,268
25,4-Jan-16,Draymond Green,F,2015-2016,Golden State Warriors,230
32,28-Dec-15,Marcin Gortat,FC,2015-2016,Washington Wizards,240
27,28-Dec-15,Russell Westbrook,G,2015-2016,Oklahoma City Thunder,200
25,21-Dec-15,Reggie Jackson,G,2015-2016,Detroit Pistons,208
24,21-Dec-15,Kawhi Leonard,F,2015-2016,San Antonio Spurs,230
26,14-Dec-15,DeMar DeRozan,GF,2015-2016,Toronto Raptors,221
27,14-Dec-15,Kevin Durant,SF,2015-2016,Oklahoma City Thunder,240
25,7-Dec-15,Reggie Jackson,G,2015-2016,Detroit Pistons,208
27,7-Dec-15,Stephen Curry,G,2015-2016,Golden State Warriors,190
25,30-Nov-15,Paul George,GF,2015-2016,Indiana Pacers,220
27,30-Nov-15,Kevin Durant,SF,2015-2016,Oklahoma City Thunder,240
31,23-Nov-15,LeBron James,F,2015-2016,Cleveland Cavaliers,250
27,23-Nov-15,Stephen Curry,G,2015-2016,Golden State Warriors,190
27,16-Nov-15,Nicolas Batum,F,2015-2016,Charlotte Hornets,200
25,16-Nov-15,DeMarcus Cousins,C,2015-2016,Sacramento Kings,270
22,9-Nov-15,Andre Drummond,C,2015-2016,Detroit Pistons,279
26,9-Nov-15,James Harden,SG,2015-2016,Houston Rockets,220
22,2-Nov-15,Andre Drummond,C,2015-2016,Detroit Pistons,279
27,2-Nov-15,Stephen Curry,G,2015-2016,Golden State Warriors,190
26,10-Apr-17,Paul George,GF,2016-2017,Indiana Pacers,100kg
28,10-Apr-17,Russell Westbrook,G,2016-2017,Oklahoma City Thunder,91kg
27,3-Apr-17,Jimmy Butler,GF,2016-2017,Chicago Bulls,105kg
28,3-Apr-17,Stephen Curry,G,2016-2017,Golden State Warriors,86kg
27,27-Mar-17,DeMar DeRozan,GF,2016-2017,Toronto Raptors,100kg
27,27-Mar-17,James Harden,SG,2016-2017,Houston Rockets,100kg
27,20-Mar-17,Hassan Whiteside,C,2016-2017,Miami Heat,120kg
26,20-Mar-17,Damian Lillard,G,2016-2017,Portland Trail Blazers,88kg
26,13-Mar-17,John Wall,PG,2016-2017,Washington Wizards,95kg
21,13-Mar-17,Karl-Anthony Towns,C,2016-2017,Minnesota Timberwolves,111kg
26,6-Mar-17,Kemba Walker,G,2016-2017,Charlotte Hornets,83kg
25,6-Mar-17,Kawhi Leonard,F,2016-2017,San Antonio Spurs,104kg
32,13-Feb-17,LeBron James,F,2016-2017,Cleveland Cavaliers,113kg
27,13-Feb-17,Blake Griffin,PF,2016-2017,Los Angeles Clippers,114kg
28,6-Feb-17,Isaiah Thomas,PG,2016-2017,Boston Celtics,84kg
28,6-Feb-17,Stephen Curry,G,2016-2017,Golden State Warriors,86kg
25,30-Jan-17,Dion Waiters,SG,2016-2017,Miami Heat,100kg
26,30-Jan-17,DeMarcus Cousins,C,2016-2017,Sacramento Kings,122kg
22,23-Jan-17,Joel Embiid,C,2016-2017,Philadelphia Sixers,113kg
25,23-Jan-17,Kawhi Leonard,F,2016-2017,San Antonio Spurs,104kg
27,16-Jan-17,DeMar DeRozan,GF,2016-2017,Toronto Raptors,100kg
26,16-Jan-17,Gordon Hayward,GF,2016-2017,Utah Jazz,102kg
27,9-Jan-17,Jimmy Butler,GF,2016-2017,Chicago Bulls,105kg
28,9-Jan-17,Stephen Curry,G,2016-2017,Golden State Warriors,86kg
26,2-Jan-17,John Wall,PG,2016-2017,Washington Wizards,95kg
27,2-Jan-17,James Harden,SG,2016-2017,Houston Rockets,100kg
28,26-Dec-16,Isaiah Thomas,PG,2016-2017,Boston Celtics,84kg
28,26-Dec-16,Russell Westbrook,G,2016-2017,Oklahoma City Thunder,91kg
27,19-Dec-16,DeMar DeRozan,GF,2016-2017,Toronto Raptors,100kg
27,19-Dec-16,James Harden,SG,2016-2017,Houston Rockets,100kg
32,12-Dec-16,LeBron James,F,2016-2017,Cleveland Cavaliers,113kg
32,12-Dec-16,Marc Gasol,C,2016-2017,Memphis Grizzlies,116kg
22,5-Dec-16,Giannis Antetokounmpo,F,2016-2017,Milwaukee Bucks,101kg
28,5-Dec-16,Russell Westbrook,G,2016-2017,Oklahoma City Thunder,91kg
28,28-Nov-16,Kevin Love,FC,2016-2017,Cleveland Cavaliers,114kg
28,28-Nov-16,Kevin Durant,SF,2016-2017,Golden State Warriors,109kg
27,21-Nov-16,Jimmy Butler,GF,2016-2017,Chicago Bulls,105kg
23,21-Nov-16,Anthony Davis,PF,2016-2017,New Orleans Pelicans,115kg
27,14-Nov-16,DeMar DeRozan,GF,2016-2017,Toronto Raptors,100kg
27,14-Nov-16,James Harden,SG,2016-2017,Houston Rockets,100kg
32,7-Nov-16,LeBron James,F,2016-2017,Cleveland Cavaliers,113kg
30,7-Nov-16,George Hill,G,2016-2017,Utah Jazz,85kg
32,31-Oct-16,LeBron James,F,2016-2017,Cleveland Cavaliers,113kg
28,31-Oct-16,Russell Westbrook,G,2016-2017,Oklahoma City Thunder,91kg
21,9-Apr-18,Ben Simmons,PF,2017-2018,Philadelphia Sixers,104kg
23,9-Apr-18,Nikola Jokic,C,2017-2018,Denver Nuggets,113kg
25,2-Apr-18,Victor Oladipo,G,2017-2018,Indiana Pacers,95kg
27,2-Apr-18,Damian Lillard,G,2017-2018,Portland Trail Blazers,88kg
33,26-Mar-18,LeBron James,F,2017-2018,Cleveland Cavaliers,113kg
32,26-Mar-18,LaMarcus Aldridge,FC,2017-2018,San Antonio Spurs,118kg
33,19-Mar-18,LeBron James,F,2017-2018,Cleveland Cavaliers,113kg
29,19-Mar-18,Russell Westbrook,G,2017-2018,Oklahoma City Thunder,91kg
28,12-Mar-18,DeMar DeRozan,GF,2017-2018,Toronto Raptors,100kg
27,12-Mar-18,Damian Lillard,G,2017-2018,Portland Trail Blazers,88kg
28,5-Mar-18,DeMar DeRozan,GF,2017-2018,Toronto Raptors,100kg
24,5-Mar-18,Anthony Davis,PF,2017-2018,New Orleans Pelicans,115kg
23,12-Feb-18,Joel Embiid,C,2017-2018,Philadelphia Sixers,113kg
28,12-Feb-18,James Harden,SG,2017-2018,Houston Rockets,100kg
24,5-Feb-18,Andre Drummond,C,2017-2018,Detroit Pistons,127kg
28,5-Feb-18,James Harden,SG,2017-2018,Houston Rockets,100kg
26,29-Jan-18,Khris Middleton,SF,2017-2018,Milwaukee Bucks,106kg
29,29-Jan-18,Stephen Curry,G,2017-2018,Golden State Warriors,86kg
23,22-Jan-18,Joel Embiid,C,2017-2018,Philadelphia Sixers,113kg
27,22-Jan-18,Damian Lillard,G,2017-2018,Portland Trail Blazers,88kg
31,15-Jan-18,Goran Dragic,G,2017-2018,Miami Heat,86kg
31,15-Jan-18,Lou Williams,G,2017-2018,Los Angeles Clippers,79kg
28,8-Jan-18,DeMar DeRozan,GF,2017-2018,Toronto Raptors,100kg
29,8-Jan-18,Stephen Curry,G,2017-2018,Golden State Warriors,86kg
24,2-Jan-18,Bradley Beal,SG,2017-2018,Washington Wizards,94kg
31,2-Jan-18,Lou Williams,G,2017-2018,Los Angeles Clippers,79kg
28,26-Dec-17,DeMar DeRozan,GF,2017-2018,Toronto Raptors,100kg
29,26-Dec-17,Russell Westbrook,G,2017-2018,Oklahoma City Thunder,91kg
33,18-Dec-17,LeBron James,F,2017-2018,Cleveland Cavaliers,113kg
32,18-Dec-17,Chris Paul,PG,2017-2018,Houston Rockets,79kg
25,11-Dec-17,Victor Oladipo,G,2017-2018,Indiana Pacers,95kg
29,11-Dec-17,Kevin Durant,SF,2017-2018,Golden State Warriors,109kg
33,4-Dec-17,LeBron James,F,2017-2018,Cleveland Cavaliers,113kg
28,4-Dec-17,James Harden,SG,2017-2018,Houston Rockets,100kg
31,27-Nov-17,Goran Dragic,G,2017-2018,Miami Heat,86kg
24,27-Nov-17,Anthony Davis,PF,2017-2018,New Orleans Pelicans,115kg
28,20-Nov-17,DeMar DeRozan,GF,2017-2018,Toronto Raptors,100kg
22,20-Nov-17,Karl-Anthony Towns,C,2017-2018,Minnesota Timberwolves,111kg
25,13-Nov-17,Tobias Harris,F,2017-2018,Detroit Pistons,107kg
23,13-Nov-17,Nikola Jokic,C,2017-2018,Denver Nuggets,113kg
22,6-Nov-17,Kristaps Porzingis,FC,2017-2018,New York Knicks,109kg
28,6-Nov-17,James Harden,SG,2017-2018,Houston Rockets,100kg
25,30-Oct-17,Victor Oladipo,G,2017-2018,Indiana Pacers,95kg
27,30-Oct-17,DeMarcus Cousins,C,2017-2018,New Orleans Pelicans,122kg
23,23-Oct-17,Giannis Antetokounmpo,F,2017-2018,Milwaukee Bucks,101kg
28,23-Oct-17,James Harden,SG,2017-2018,Houston Rockets,100kg
